,n,p,k,sigma,lambda,method,time,error,numiters
1212,500,250,25,1,0,AT,0.26418566703796387,0.018974319974361303,170
1213,500,250,25,1,0,LLM,0.33223485946655273,0.018931552328626134,181
1214,500,250,25,1,75.57371039598306,AT,0.26218605041503906,0.01660911715656906,157
1215,500,250,25,1,75.57371039598306,LLM,0.13509488105773926,0.016045611775854913,72
1216,500,250,25,1,0,AT,0.2541799545288086,0.02467492251199765,172
1217,500,250,25,1,0,LLM,0.31722402572631836,0.024675719422192374,172
1218,500,250,25,1,76.34166473451309,AT,0.2751946449279785,0.019127880234676917,170
1219,500,250,25,1,76.34166473451309,LLM,0.1320953369140625,0.018149384778886283,71
1220,500,250,25,1,0,AT,0.2251577377319336,0.018410542733748533,155
1221,500,250,25,1,0,LLM,0.31021904945373535,0.018630410327022454,167
1222,500,250,25,1,77.93179830296941,AT,0.24717402458190918,0.022098798012323985,163
1223,500,250,25,1,77.93179830296941,LLM,0.1170964241027832,0.020887881195961983,65
1224,500,250,25,1,0,AT,0.2781963348388672,0.024672443511740166,167
1225,500,250,25,1,0,LLM,0.29819750785827637,0.024674663583897624,167
1226,500,250,25,1,75.2743972249729,AT,0.23616600036621094,0.018292183860445687,156
1227,500,250,25,1,75.2743972249729,LLM,0.13109445571899414,0.016330700830841288,71
1228,500,250,25,1,0,AT,0.23616576194763184,0.019542088649968797,163
1229,500,250,25,1,0,LLM,0.30821800231933594,0.01950507399028689,162
1230,500,250,25,1,65.79182311423381,AT,0.24717473983764648,0.016160248978620968,156
1231,500,250,25,1,65.79182311423381,LLM,0.13811063766479492,0.014441568648798116,72
1232,500,250,25,1,0,AT,0.25516796112060547,0.019935291335464612,165
1233,500,250,25,1,0,LLM,0.3022122383117676,0.019937563300520777,165
1234,500,250,25,1,71.1153050008922,AT,0.2491893768310547,0.01796638036305664,162
1235,500,250,25,1,71.1153050008922,LLM,0.13508200645446777,0.017045931298926596,65
1236,500,250,25,1,0,AT,0.2921895980834961,0.021253845104080033,181
1237,500,250,25,1,0,LLM,0.3732621669769287,0.021213220297812266,183
1238,500,250,25,1,60.474186324130294,AT,0.2511768341064453,0.017230323811508984,156
1239,500,250,25,1,60.474186324130294,LLM,0.12508821487426758,0.01613044457002033,70
1240,500,250,25,1,0,AT,0.2401585578918457,0.020017783837681904,161
1241,500,250,25,1,0,LLM,0.30020999908447266,0.019963259062177628,163
1242,500,250,25,1,65.0899070382981,AT,0.2521798610687256,0.015860724784945143,158
1243,500,250,25,1,65.0899070382981,LLM,0.14910364151000977,0.014444781147243855,73
1244,500,250,25,1,0,AT,0.2401714324951172,0.019644469454920405,159
1245,500,250,25,1,0,LLM,0.282198429107666,0.01965565324174279,159
1246,500,250,25,1,69.64731418302401,AT,0.22816181182861328,0.018356387965092508,150
1247,500,250,25,1,69.64731418302401,LLM,0.13709688186645508,0.016704552301385216,70
1248,500,250,25,1,0,AT,0.2611851692199707,0.019352678749360235,173
1249,500,250,25,1,0,LLM,0.3232269287109375,0.019372225369748353,163
1250,500,250,25,1,64.01384731274148,AT,0.26018404960632324,0.016111486900237615,157
1251,500,250,25,1,64.01384731274148,LLM,0.1410994529724121,0.013797156980161847,72
1252,500,250,25,1,0,AT,0.26317262649536133,0.020297149706955522,161
1253,500,250,25,1,0,LLM,0.314223051071167,0.02028702498506272,162
1254,500,250,25,1,93.61657704878235,AT,0.24717354774475098,0.023484823506129005,155
1255,500,250,25,1,93.61657704878235,LLM,0.13109135627746582,0.023340712913753867,66
