,n,p,k,sigma,lambda,method,time,error,numiters
28,500,1000,800,1,0,AT,1.4070193767547607,0.6622683065682013,209
29,500,1000,800,1,0,LLM,1.6962010860443115,0.6622683348178663,207
30,500,1000,800,1,75.75340063824271,AT,3.142767906188965,0.9193766032072684,498
31,500,1000,800,1,75.75340063824271,LLM,4.621288537979126,0.9342227110527836,597
32,500,1000,800,1,0,AT,1.2473809719085693,0.7266900609013277,207
33,500,1000,800,1,0,LLM,1.5641264915466309,0.7266900644804241,207
34,500,1000,800,1,64.75851297885029,AT,3.2078018188476562,0.9177079837545093,525
35,500,1000,800,1,64.75851297885029,LLM,4.834172964096069,0.9294085235342896,600
36,500,1000,800,1,0,AT,1.2453796863555908,0.6965575360431702,206
37,500,1000,800,1,0,LLM,1.5706088542938232,0.6965575246771204,207
38,500,1000,800,1,69.83025494400101,AT,3.030651569366455,0.9208852455727936,520
39,500,1000,800,1,69.83025494400101,LLM,5.072581768035889,0.9353681765329667,667
40,500,1000,800,1,0,AT,1.3259820938110352,0.7011675818561239,213
41,500,1000,800,1,0,LLM,1.5065646171569824,0.701167698610909,205
42,500,1000,800,1,78.31729260850061,AT,3.054669141769409,0.9317173882571879,494
43,500,1000,800,1,78.31729260850061,LLM,4.623303174972534,0.945173230086055,584
44,500,1000,800,1,0,AT,1.30442214012146,0.6928809238730841,204
45,500,1000,800,1,0,LLM,1.5966403484344482,0.6928810161342576,207
